rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
174	C11H18O4	[M - H]-	C11H18O4	71.17345218096307	67.82530961056058	3.3481425704024885	19	0.9543580161402039	1.7614834362563618	2.2096583939960706	1.817791329014804		213.11362	570.85	349_LimoneneNegative_352
175	C10H16O4	[M - H]-	C10H16O4	71.01230677571938	65.81124078736504	5.201065988354339	22	0.8600010406910192	1.0466415015928328	2.671755603856937	1.2429070197311298		199.09783	290.48	250_LimoneneNegative_253
176	C12H20O6	[M - H2O - H]-	C12H18O5	70.77922462638128	67.32416826809457	3.4550563582867064	12	0.9142393059587344	1.9281553919900984	2.1764373444824967	-74697.89693744175		241.10842	344.35	280_LimoneneNegative_283
177	C7H12O4	[M - H]-	C7H12O4	70.76562954730053	67.8294093075064	2.936220239794138	14	0.969408956279563	-0.28962300437586674	2.4942547967443174	1.8079731683629212		159.06657	68.55	38_LimoneneNegative_38
178	C13H16O8	[M - H]-	C13H16O8	70.64997803796112	68.48590196305196	2.164076074909163	20	0.9307391405885099	1.8130619954321645	3.052637800413545	-7.860973916924801		299.07489	257.73	238_LimoneneNegative_241
179	C8H12O6	[M - H2O - H]-	C8H10O5	70.45677015496456	65.23123252099083	5.225537633973726	21	0.9450445285326604	0.827019611195551	3.634821424896508	-97328.99976762204		185.04579	72.77	44_LimoneneNegative_44
180	C19H32O9	[M - H]-	C19H32O9	70.21240774050466	66.4141677906615	3.798239949843171	20	0.8546500758220985	1.9869339689923815	2.4783901936450343	-0.4120859807287502		403.19719	682.83	382_LimoneneNegative_385
181	C6H10O3	[M - H]-	C6H10O3	70.20213190596913	65.54524696060349	4.656884945365628	9	0.9668263690945479	-1.7220552718067985	3.7368091136923516	3.1945176920852436		129.05613	150.74	136_LimoneneNegative_137
182	C8H12O5	[M - H2O - H]-	C8H10O4	69.47062104049675	66.56171472393162	2.9089063165651314	11	0.9094215507652833	1.668364115607253	2.340161662153534	-106537.39024778886		169.05095	136.09	117_LimoneneNegative_118
183	C6H10O5	[M - H]-	C6H10O5	69.32045161613048	66.4653944340663	2.855057182064188	9	0.9413810782825492	-1.1033815448646673	2.4309804473923653	1.9437450336182052		161.04586	66.44	33_LimoneneNegative_33
184	C8H12O5	[M - H2O - H]-	C8H10O4	69.29475949840102	66.19600385299394	3.0987556454070813	17	0.9514341715881578	1.3738863376179478	2.6189800255388747	-106537.39024778886		169.05095	87.42	66_LimoneneNegative_67
185	C12H18O5	[M - H]-	C12H18O5	68.56874703995342	65.42174062395685	3.1470064159965663	11	0.9319345053349105	1.2974578732327942	2.3121033431324807	1.1728171037300128		241.10843	648.28	372_LimoneneNegative_375
186	C19H30O8	[M - H2O - H]-	C19H28O7	68.37940047182508	64.43011734544415	3.9492831263809283	14	0.8960713521725653	1.7642106395785164	2.8512888856610443	-49051.40241605311		367.17628	762.39	403_LimoneneNegative_406
